index,Isolate,AMIKACIN,AMOXICILLIN,AMOXICILLIN_CLAVULANATE,CAPREOMYCIN,CIPROFLOXACIN,CLARITHROMYCIN,CLOFAZIMINE,CYCLOSERINE,ETHAMBUTOL,ETHIONAMIDE,GATIFLOXACIN,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,MOXIFLOXACIN,NICOTINAMIDE,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PROTHIONAMIDE,PYRAZINAMIDE,RIFABUTIN,RIFAMPICIN,STREPTOMYCIN,category,ETHIOMIDE,IMIPENEM,LINEZOLID,OXIFLOXACIN,PARA_AMINOSALICYLIC_ACID,run,run_combined,bioproject,biosample,internal,path,Isolate_original,accessions
61,02R0272,,,,R,,,,,R,R,,R,R,,,,R,S,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0272/pilon/02R0272.vcf,02R0272,ERS2401273
62,02R0286,S,,,,,R,,,S,,,R,S,S,,,S,S,,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0286/pilon/02R0286.vcf,02R0286,ERS2401280
63,02R0325,R,,,R,,R,,,R,S,,R,R,S,S,,S,S,,S,S,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0325/pilon/02R0325.vcf,02R0325,SAMN05915258
64,02R0328,R,,,R,,R,,,R,R,R,R,R,R,R,,R,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0328/pilon/02R0328.vcf,02R0328,SAMN05916288
65,02R0360,S,,,,,,,,R,R,,R,S,S,,,,S,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0360/pilon/02R0360.vcf,02R0360,ERS2401294
67,02R0417,S,,,S,,,,,R,R,,R,S,R,R,,R,S,,R,R,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0417/pilon/02R0417.vcf,02R0417,SAMN05916444
68,02R0754,,,,S,,,,,S,S,,R,S,,,,S,S,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0754/pilon/02R0754.vcf,02R0754,ERS2401218
69,02R0793,R,,,R,,,,,R,R,,R,R,R,,,R,R,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0793/pilon/02R0793.vcf,02R0793,ERS2401371
70,02R0812,S,,,R,,,,,R,R,,R,S,S,S,,,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0812/pilon/02R0812.vcf,02R0812,SAMN06094109
71,02R0848,S,,,S,,,,,S,S,,R,S,S,S,,,S,,R,S,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0848/pilon/02R0848.vcf,02R0848,SAMN05916436
72,02R0861,S,,,S,,,,,R,R,,R,S,R,R,,R,R,,R,S,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0861/pilon/02R0861.vcf,02R0861,SAMN05916298
73,02R0890,,,,,,,,,S,R,,R,S,,,,,,,S,,S,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0890/pilon/02R0890.vcf,02R0890,ERS2401283
74,02R0911,,,,S,,,,,R,R,,R,S,,,,S,S,,R,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0911/pilon/02R0911.vcf,02R0911,ERS2401206
75,02R0951,S,,,S,,,,,R,S,,R,S,R,,,R,S,,S,,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0951/pilon/02R0951.vcf,02R0951,ERS2401163
76,02R0971,,,,S,,,,,R,S,,R,S,,,,R,R,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R0971/pilon/02R0971.vcf,02R0971,ERS2401276
92,02R1288,,,,R,,,,,R,R,,R,R,,,,S,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1288/pilon/02R1288.vcf,02R1288,ERS2401189
93,02R1444,S,,,S,,,,,R,R,,R,S,S,S,,S,S,,R,S,R,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1444/pilon/02R1444.vcf,02R1444,SAMN06094110
95,02R1457,,,,S,,,,,R,R,,R,R,,,,S,S,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1457/pilon/02R1457.vcf,02R1457,ERS2401086
96,02R1479,R,,,R,,,,,R,R,,R,R,R,,,R,R,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1479/pilon/02R1479.vcf,02R1479,ERS2401303
97,02R1485,S,,,R,,,,,R,R,,R,S,S,,,S,R,,R,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1485/pilon/02R1485.vcf,02R1485,ERS2401140
98,02R1527,S,,,S,,,,,R,R,,R,S,S,S,,S,S,,R,R,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1527/pilon/02R1527.vcf,02R1527,SAMN05916429
99,02R1543,,,,S,,,,,R,S,,R,S,,,,S,S,,S,,R,R,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1543/pilon/02R1543.vcf,02R1543,ERS2401386
100,02R1544,,,,S,,,,,S,S,,R,S,,,,S,S,,R,,S,S,set1_original_10202,,,,,,,,,,,/n/data1/hms/dbmi/farhat/rollingDB/genomic_data/02R1544/pilon/02R1544.vcf,02R1544,ERS2401216
